Individual,Income,Age,Sex,Married,
1,87,46,F,Y,
2,97,52,M,Y,
3,44,25,F,Y,
4,115,53,F,Y,
5,73,37,M,Y,
6,66,38,M,N,
7,100,47,M,N,
8,56,25,F,Y,
9,97,50,F,Y,
10,87,50,F,Y,
11,58,35,M,Y,
12,54,26,M,Y,
13,81,43,F,Y,
14,80,40,M,Y,
15,84,40,M,N,
16,107,46,M,Y,
17,107,54,M,N,
18,71,40,F,N,
19,66,24,M,Y,
20,112,49,F,Y,
21,68,40,M,N,
22,99,48,M,Y,
23,56,29,F,Y,
24,85,44,M,Y,
25,111,44,M,N,
26,99,46,M,Y,
27,113,46,M,Y,
28,86,48,M,N,
29,99,50,F,Y,
30,87,38,M,Y,
31,69,27,M,Y,
32,61,31,F,N,
33,109,48,M,N,
34,104,40,M,Y,
35,103,48,M,Y,
36,103,56,F,Y,
37,86,40,F,N,
38,46,30,F,Y,
39,116,51,M,Y,
40,78,39,F,N,
41,46,27,F,N,
42,62,37,F,N,
43,84,29,M,Y,
44,125,48,M,N,
45,94,43,M,Y,
46,62,32,M,Y,
47,61,33,M,Y,
48,100,45,M,N,
49,71,35,M,Y,
50,90,38,F,Y,
51,82,40,M,N,
52,57,29,F,Y,
53,51,24,F,N,
54,91,28,M,Y,
55,107,52,M,Y,
56,76,37,M,N,
57,91,41,F,Y,
58,94,45,M,N,
59,114,55,F,Y,
60,95,40,M,N,
61,77,30,M,Y,
62,82,41,F,Y,
63,71,27,M,Y,
64,120,52,M,Y,
65,70,34,M,Y,
66,72,29,F,Y,
67,94,41,M,Y,
68,114,45,M,Y,
69,84,37,F,N,
70,88,48,M,N,
71,66,44,F,Y,
72,90,47,F,Y,
73,92,45,M,N,
74,53,26,F,Y,
75,97,54,M,N,
76,51,25,F,N,
77,76,35,M,Y,
78,52,25,F,N,
79,96,53,F,N,
80,75,44,F,N,
81,76,27,M,Y,
82,59,29,F,Y,
83,75,30,M,N,
84,58,37,F,N,
85,90,40,M,Y,
86,86,44,M,Y,
87,82,43,F,Y,
88,67,27,M,Y,
