{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 133.38696479797363, 'num of subs': 103, 'num of comments': 5369, 'fetched comments in': 82.82957601547241, 'persisted comments in': 15.37260103225708, 'fetched submissions in': 34.83133411407471, 'persisted submissions in': 0.3527989387512207}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 15.313990116119385, 'num of subs': 103, 'num of comments': 5369, 'fetched comments in': 0.0019278526306152344, 'persisted comments in': 15.016414165496826, 'fetched submissions in': 0.003422975540161133, 'persisted submissions in': 0.29154086112976074}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 132.92922592163086, 'num of subs': 103, 'num of comments': 5369, 'fetched comments in': 82.68704795837402, 'persisted comments in': 14.993881225585938, 'fetched submissions in': 34.86673021316528, 'persisted submissions in': 0.38086795806884766}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 0.4046626091003418, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0019202232360839844, 'persisted submissions in': 0.40202903747558594}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 0.2974550724029541, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0020079612731933594, 'persisted submissions in': 0.29480600357055664}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 0.3631601333618164, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.001775979995727539, 'persisted submissions in': 0.3603808879852295}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 41.579071044921875, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 41.21611475944519, 'persisted submissions in': 0.36225318908691406}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 0.2830791473388672, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0019528865814208984, 'persisted submissions in': 0.28050899505615234}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 0.30918407440185547, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.001753091812133789, 'persisted submissions in': 0.306804895401001}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 0.2827908992767334, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0018129348754882812, 'persisted submissions in': 0.28034472465515137}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 0.3005251884460449, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0015926361083984375, 'persisted submissions in': 0.29827308654785156}
